cell_id,year_month,number_of_fires,num_buildings,avg_floors,median_construction_year,Target_Variable,fires_lag_1m,fires_lag_2m,fires_lag_3m,fires_lag_6m,fires_lag_12m,target_lag_1m,target_lag_2m,target_lag_3m,month,year,month_sin,month_cos,neighbors_fires_lag1m,neighbors_target_lag1m,neighbor_count,neighbors_fires_avg
0_0,2005-09,4.0,996,1.6817269076305221,1947.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2005,-1.0,-1.8369701987210297e-16,0.0,0,2,0.0
0_0,2005-10,4.0,996,1.6817269076305221,1947.0,1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,2005,-0.8660254037844386,0.5000000000000001,10.0,1,2,5.0
0_0,2005-11,4.0,996,1.6817269076305221,1947.0,1,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,11,2005,-0.5000000000000004,0.8660254037844384,11.0,1,2,5.5
0_0,2005-12,4.0,996,1.6817269076305221,1947.0,1,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,12,2005,-2.4492935982947064e-16,1.0,10.0,1,2,5.0
0_0,2006-01,8.0,996,1.6817269076305221,1947.0,1,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1,2006,0.49999999999999994,0.8660254037844387,8.0,2,2,4.0
0_0,2006-02,6.0,996,1.6817269076305221,1947.0,1,8.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,2,2006,0.8660254037844386,0.5000000000000001,5.0,1,2,2.5
0_0,2006-03,7.0,996,1.6817269076305221,1947.0,1,6.0,8.0,4.0,4.0,0.0,1.0,1.0,1.0,3,2006,1.0,6.123233995736766e-17,6.0,2,2,3.0
0_0,2006-04,5.0,996,1.6817269076305221,1947.0,1,7.0,6.0,8.0,4.0,0.0,1.0,1.0,1.0,4,2006,0.8660254037844387,-0.4999999999999998,4.0,1,2,2.0
0_0,2006-05,16.0,996,1.6817269076305221,1947.0,1,5.0,7.0,6.0,4.0,0.0,1.0,1.0,1.0,5,2006,0.49999999999999994,-0.8660254037844387,5.0,2,2,2.5
0_0,2006-06,11.0,996,1.6817269076305221,1947.0,1,16.0,5.0,7.0,4.0,0.0,1.0,1.0,1.0,6,2006,1.2246467991473532e-16,-1.0,6.0,1,2,3.0
0_0,2006-07,6.0,996,1.6817269076305221,1947.0,1,11.0,16.0,5.0,8.0,0.0,1.0,1.0,1.0,7,2006,-0.4999999999999997,-0.8660254037844388,12.0,2,2,6.0
0_0,2006-08,8.0,996,1.6817269076305221,1947.0,1,6.0,11.0,16.0,6.0,0.0,1.0,1.0,1.0,8,2006,-0.8660254037844384,-0.5000000000000004,10.0,1,2,5.0
0_0,2006-09,4.0,996,1.6817269076305221,1947.0,1,8.0,6.0,11.0,7.0,4.0,1.0,1.0,1.0,9,2006,-1.0,-1.8369701987210297e-16,8.0,1,2,4.0
0_0,2006-10,3.0,996,1.6817269076305221,1947.0,1,4.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,10,2006,-0.8660254037844386,0.5000000000000001,5.0,1,2,2.5
0_0,2006-11,2.0,996,1.6817269076305221,1947.0,1,3.0,4.0,8.0,16.0,4.0,1.0,1.0,1.0,11,2006,-0.5000000000000004,0.8660254037844384,5.0,1,2,2.5
0_0,2006-12,7.0,996,1.6817269076305221,1947.0,1,2.0,3.0,4.0,11.0,4.0,1.0,1.0,1.0,12,2006,-2.4492935982947064e-16,1.0,13.0,1,2,6.5
0_0,2007-01,5.0,996,1.6817269076305221,1947.0,1,7.0,2.0,3.0,6.0,8.0,1.0,1.0,1.0,1,2007,0.49999999999999994,0.8660254037844387,9.0,2,2,4.5
0_0,2007-02,3.0,996,1.6817269076305221,1947.0,1,5.0,7.0,2.0,8.0,6.0,1.0,1.0,1.0,2,2007,0.8660254037844386,0.5000000000000001,11.0,1,2,5.5
0_0,2007-03,5.0,996,1.6817269076305221,1947.0,1,3.0,5.0,7.0,4.0,7.0,1.0,1.0,1.0,3,2007,1.0,6.123233995736766e-17,4.0,2,2,2.0
0_0,2007-04,2.0,996,1.6817269076305221,1947.0,1,5.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,4,2007,0.8660254037844387,-0.4999999999999998,13.0,1,2,6.5
0_0,2007-05,4.0,996,1.6817269076305221,1947.0,1,2.0,5.0,3.0,2.0,16.0,1.0,1.0,1.0,5,2007,0.49999999999999994,-0.8660254037844387,14.0,1,2,7.0
0_0,2007-06,1.0,996,1.6817269076305221,1947.0,1,4.0,2.0,5.0,7.0,11.0,1.0,1.0,1.0,6,2007,1.2246467991473532e-16,-1.0,6.0,1,2,3.0
0_0,2007-07,4.0,996,1.6817269076305221,1947.0,1,1.0,4.0,2.0,5.0,6.0,1.0,1.0,1.0,7,2007,-0.4999999999999997,-0.8660254037844388,5.0,1,2,2.5
0_0,2007-08,7.0,996,1.6817269076305221,1947.0,1,4.0,1.0,4.0,3.0,8.0,1.0,1.0,1.0,8,2007,-0.8660254037844384,-0.5000000000000004,6.0,1,2,3.0
0_0,2007-09,3.0,996,1.6817269076305221,1947.0,1,7.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,9,2007,-1.0,-1.8369701987210297e-16,7.0,2,2,3.5
0_0,2007-10,4.0,996,1.6817269076305221,1947.0,1,3.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0,10,2007,-0.8660254037844386,0.5000000000000001,5.0,1,2,2.5
0_0,2007-11,2.0,996,1.6817269076305221,1947.0,1,4.0,3.0,7.0,4.0,2.0,1.0,1.0,1.0,11,2007,-0.5000000000000004,0.8660254037844384,8.0,2,2,4.0
0_0,2007-12,3.0,996,1.6817269076305221,1947.0,1,2.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,12,2007,-2.4492935982947064e-16,1.0,13.0,1,2,6.5
0_0,2008-01,1.0,996,1.6817269076305221,1947.0,1,3.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,1,2008,0.49999999999999994,0.8660254037844387,12.0,2,2,6.0
0_0,2008-02,10.0,996,1.6817269076305221,1947.0,1,1.0,3.0,2.0,7.0,3.0,1.0,1.0,1.0,2,2008,0.8660254037844386,0.5000000000000001,10.0,2,2,5.0
0_0,2008-03,1.0,996,1.6817269076305221,1947.0,1,10.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,3,2008,1.0,6.123233995736766e-17,4.0,1,2,2.0
0_0,2008-04,8.0,996,1.6817269076305221,1947.0,1,1.0,10.0,1.0,4.0,2.0,1.0,1.0,1.0,4,2008,0.8660254037844387,-0.4999999999999998,10.0,1,2,5.0
0_0,2008-05,6.0,996,1.6817269076305221,1947.0,1,8.0,1.0,10.0,2.0,4.0,1.0,1.0,1.0,5,2008,0.49999999999999994,-0.8660254037844387,8.0,1,2,4.0
0_0,2008-06,7.0,996,1.6817269076305221,1947.0,1,6.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,6,2008,1.2246467991473532e-16,-1.0,9.0,1,2,4.5
0_0,2008-07,8.0,996,1.6817269076305221,1947.0,1,7.0,6.0,8.0,1.0,4.0,1.0,1.0,1.0,7,2008,-0.4999999999999997,-0.8660254037844388,10.0,1,2,5.0
0_0,2008-08,5.0,996,1.6817269076305221,1947.0,1,8.0,7.0,6.0,10.0,7.0,1.0,1.0,1.0,8,2008,-0.8660254037844384,-0.5000000000000004,17.0,1,2,8.5
0_0,2008-09,11.0,996,1.6817269076305221,1947.0,1,5.0,8.0,7.0,1.0,3.0,1.0,1.0,1.0,9,2008,-1.0,-1.8369701987210297e-16,15.0,2,2,7.5
0_0,2008-10,4.0,996,1.6817269076305221,1947.0,1,11.0,5.0,8.0,8.0,4.0,1.0,1.0,1.0,10,2008,-0.8660254037844386,0.5000000000000001,7.0,1,2,3.5
0_0,2008-11,3.0,996,1.6817269076305221,1947.0,1,4.0,11.0,5.0,6.0,2.0,1.0,1.0,1.0,11,2008,-0.5000000000000004,0.8660254037844384,5.0,1,2,2.5
0_0,2008-12,3.0,996,1.6817269076305221,1947.0,1,3.0,4.0,11.0,7.0,3.0,1.0,1.0,1.0,12,2008,-2.4492935982947064e-16,1.0,10.0,2,2,5.0
0_0,2009-01,6.0,996,1.6817269076305221,1947.0,1,3.0,3.0,4.0,8.0,1.0,1.0,1.0,1.0,1,2009,0.49999999999999994,0.8660254037844387,12.0,1,2,6.0
0_0,2009-02,6.0,996,1.6817269076305221,1947.0,1,6.0,3.0,3.0,5.0,10.0,1.0,1.0,1.0,2,2009,0.8660254037844386,0.5000000000000001,5.0,1,2,2.5
0_0,2009-03,10.0,996,1.6817269076305221,1947.0,1,6.0,6.0,3.0,11.0,1.0,1.0,1.0,1.0,3,2009,1.0,6.123233995736766e-17,5.0,1,2,2.5
0_0,2009-04,6.0,996,1.6817269076305221,1947.0,1,10.0,6.0,6.0,4.0,8.0,1.0,1.0,1.0,4,2009,0.8660254037844387,-0.4999999999999998,11.0,1,2,5.5
0_0,2009-05,7.0,996,1.6817269076305221,1947.0,1,6.0,10.0,6.0,3.0,6.0,1.0,1.0,1.0,5,2009,0.49999999999999994,-0.8660254037844387,13.0,1,2,6.5
0_0,2009-06,5.0,996,1.6817269076305221,1947.0,1,7.0,6.0,10.0,3.0,7.0,1.0,1.0,1.0,6,2009,1.2246467991473532e-16,-1.0,5.0,1,2,2.5
0_0,2009-07,7.0,996,1.6817269076305221,1947.0,1,5.0,7.0,6.0,6.0,8.0,1.0,1.0,1.0,7,2009,-0.4999999999999997,-0.8660254037844388,7.0,1,2,3.5
0_0,2009-08,5.0,996,1.6817269076305221,1947.0,1,7.0,5.0,7.0,6.0,5.0,1.0,1.0,1.0,8,2009,-0.8660254037844384,-0.5000000000000004,11.0,1,2,5.5
0_0,2009-09,6.0,996,1.6817269076305221,1947.0,1,5.0,7.0,5.0,10.0,11.0,1.0,1.0,1.0,9,2009,-1.0,-1.8369701987210297e-16,10.0,1,2,5.0
0_0,2009-10,8.0,996,1.6817269076305221,1947.0,1,6.0,5.0,7.0,6.0,4.0,1.0,1.0,1.0,10,2009,-0.8660254037844386,0.5000000000000001,9.0,1,2,4.5
0_0,2009-11,6.0,996,1.6817269076305221,1947.0,1,8.0,6.0,5.0,7.0,3.0,1.0,1.0,1.0,11,2009,-0.5000000000000004,0.8660254037844384,5.0,2,2,2.5
0_0,2009-12,3.0,996,1.6817269076305221,1947.0,1,6.0,8.0,6.0,5.0,3.0,1.0,1.0,1.0,12,2009,-2.4492935982947064e-16,1.0,11.0,2,2,5.5
0_0,2010-01,5.0,996,1.6817269076305221,1947.0,1,3.0,6.0,8.0,7.0,6.0,1.0,1.0,1.0,1,2010,0.49999999999999994,0.8660254037844387,11.0,2,2,5.5
0_0,2010-02,6.0,996,1.6817269076305221,1947.0,1,5.0,3.0,6.0,5.0,6.0,1.0,1.0,1.0,2,2010,0.8660254037844386,0.5000000000000001,3.0,1,2,1.5
0_0,2010-03,7.0,996,1.6817269076305221,1947.0,1,6.0,5.0,3.0,6.0,10.0,1.0,1.0,1.0,3,2010,1.0,6.123233995736766e-17,7.0,2,2,3.5
0_0,2010-04,3.0,996,1.6817269076305221,1947.0,1,7.0,6.0,5.0,8.0,6.0,1.0,1.0,1.0,4,2010,0.8660254037844387,-0.4999999999999998,12.0,1,2,6.0
0_0,2010-05,8.0,996,1.6817269076305221,1947.0,1,3.0,7.0,6.0,6.0,7.0,1.0,1.0,1.0,5,2010,0.49999999999999994,-0.8660254037844387,5.0,2,2,2.5
0_0,2010-06,8.0,996,1.6817269076305221,1947.0,1,8.0,3.0,7.0,3.0,5.0,1.0,1.0,1.0,6,2010,1.2246467991473532e-16,-1.0,12.0,1,2,6.0
0_0,2010-07,6.0,996,1.6817269076305221,1947.0,1,8.0,8.0,3.0,5.0,7.0,1.0,1.0,1.0,7,2010,-0.4999999999999997,-0.8660254037844388,7.0,1,2,3.5
0_0,2010-08,12.0,996,1.6817269076305221,1947.0,1,6.0,8.0,8.0,6.0,5.0,1.0,1.0,1.0,8,2010,-0.8660254037844384,-0.5000000000000004,15.0,2,2,7.5
0_0,2010-09,9.0,996,1.6817269076305221,1947.0,1,12.0,6.0,8.0,7.0,6.0,1.0,1.0,1.0,9,2010,-1.0,-1.8369701987210297e-16,6.0,1,2,3.0
0_0,2010-10,11.0,996,1.6817269076305221,1947.0,1,9.0,12.0,6.0,3.0,8.0,1.0,1.0,1.0,10,2010,-0.8660254037844386,0.5000000000000001,10.0,1,2,5.0
0_0,2010-11,9.0,996,1.6817269076305221,1947.0,1,11.0,9.0,12.0,8.0,6.0,1.0,1.0,1.0,11,2010,-0.5000000000000004,0.8660254037844384,12.0,1,2,6.0
0_0,2010-12,2.0,996,1.6817269076305221,1947.0,1,9.0,11.0,9.0,8.0,3.0,1.0,1.0,1.0,12,2010,-2.4492935982947064e-16,1.0,8.0,2,2,4.0
0_0,2011-01,4.0,996,1.6817269076305221,1947.0,1,2.0,9.0,11.0,6.0,5.0,1.0,1.0,1.0,1,2011,0.49999999999999994,0.8660254037844387,3.0,1,2,1.5
0_0,2011-02,5.0,996,1.6817269076305221,1947.0,1,4.0,2.0,9.0,12.0,6.0,1.0,1.0,1.0,2,2011,0.8660254037844386,0.5000000000000001,11.0,1,2,5.5
0_0,2011-03,8.0,996,1.6817269076305221,1947.0,1,5.0,4.0,2.0,9.0,7.0,1.0,1.0,1.0,3,2011,1.0,6.123233995736766e-17,4.0,1,2,2.0
0_0,2011-04,5.0,996,1.6817269076305221,1947.0,1,8.0,5.0,4.0,11.0,3.0,1.0,1.0,1.0,4,2011,0.8660254037844387,-0.4999999999999998,12.0,1,2,6.0
0_0,2011-05,8.0,996,1.6817269076305221,1947.0,1,5.0,8.0,5.0,9.0,8.0,1.0,1.0,1.0,5,2011,0.49999999999999994,-0.8660254037844387,4.0,1,2,2.0
0_0,2011-06,13.0,996,1.6817269076305221,1947.0,1,8.0,5.0,8.0,2.0,8.0,1.0,1.0,1.0,6,2011,1.2246467991473532e-16,-1.0,6.0,1,2,3.0
0_0,2011-07,7.0,996,1.6817269076305221,1947.0,1,13.0,8.0,5.0,4.0,6.0,1.0,1.0,1.0,7,2011,-0.4999999999999997,-0.8660254037844388,9.0,2,2,4.5
0_0,2011-08,9.0,996,1.6817269076305221,1947.0,1,7.0,13.0,8.0,5.0,12.0,1.0,1.0,1.0,8,2011,-0.8660254037844384,-0.5000000000000004,9.0,2,2,4.5
0_0,2011-09,5.0,996,1.6817269076305221,1947.0,1,9.0,7.0,13.0,8.0,9.0,1.0,1.0,1.0,9,2011,-1.0,-1.8369701987210297e-16,7.0,1,2,3.5
0_0,2011-10,7.0,996,1.6817269076305221,1947.0,1,5.0,9.0,7.0,5.0,11.0,1.0,1.0,1.0,10,2011,-0.8660254037844386,0.5000000000000001,4.0,2,2,2.0
0_0,2011-11,8.0,996,1.6817269076305221,1947.0,1,7.0,5.0,9.0,8.0,9.0,1.0,1.0,1.0,11,2011,-0.5000000000000004,0.8660254037844384,4.0,1,2,2.0
0_0,2011-12,2.0,996,1.6817269076305221,1947.0,1,8.0,7.0,5.0,13.0,2.0,1.0,1.0,1.0,12,2011,-2.4492935982947064e-16,1.0,7.0,1,2,3.5
0_0,2012-01,3.0,996,1.6817269076305221,1947.0,1,2.0,8.0,7.0,7.0,4.0,1.0,1.0,1.0,1,2012,0.49999999999999994,0.8660254037844387,9.0,1,2,4.5
0_0,2012-02,3.0,996,1.6817269076305221,1947.0,1,3.0,2.0,8.0,9.0,5.0,1.0,1.0,1.0,2,2012,0.8660254037844386,0.5000000000000001,8.0,1,2,4.0
0_0,2012-03,6.0,996,1.6817269076305221,1947.0,1,3.0,3.0,2.0,5.0,8.0,1.0,1.0,1.0,3,2012,1.0,6.123233995736766e-17,10.0,2,2,5.0
0_0,2012-04,9.0,996,1.6817269076305221,1947.0,1,6.0,3.0,3.0,7.0,5.0,1.0,1.0,1.0,4,2012,0.8660254037844387,-0.4999999999999998,5.0,1,2,2.5
0_0,2012-05,5.0,996,1.6817269076305221,1947.0,1,9.0,6.0,3.0,8.0,8.0,1.0,1.0,1.0,5,2012,0.49999999999999994,-0.8660254037844387,4.0,2,2,2.0
0_0,2012-06,3.0,996,1.6817269076305221,1947.0,1,5.0,9.0,6.0,2.0,13.0,1.0,1.0,1.0,6,2012,1.2246467991473532e-16,-1.0,10.0,2,2,5.0
0_0,2012-07,5.0,996,1.6817269076305221,1947.0,1,3.0,5.0,9.0,3.0,7.0,1.0,1.0,1.0,7,2012,-0.4999999999999997,-0.8660254037844388,4.0,1,2,2.0
0_0,2012-08,5.0,996,1.6817269076305221,1947.0,1,5.0,3.0,5.0,3.0,9.0,1.0,1.0,1.0,8,2012,-0.8660254037844384,-0.5000000000000004,7.0,1,2,3.5
0_0,2012-09,3.0,996,1.6817269076305221,1947.0,1,5.0,5.0,3.0,6.0,5.0,1.0,1.0,1.0,9,2012,-1.0,-1.8369701987210297e-16,8.0,1,2,4.0
0_0,2012-10,4.0,996,1.6817269076305221,1947.0,1,3.0,5.0,5.0,9.0,7.0,1.0,1.0,1.0,10,2012,-0.8660254037844386,0.5000000000000001,6.0,1,2,3.0
0_0,2012-11,1.0,996,1.6817269076305221,1947.0,1,4.0,3.0,5.0,5.0,8.0,1.0,1.0,1.0,11,2012,-0.5000000000000004,0.8660254037844384,11.0,2,2,5.5
0_0,2012-12,2.0,996,1.6817269076305221,1947.0,1,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,12,2012,-2.4492935982947064e-16,1.0,4.0,1,2,2.0
0_0,2013-01,0.0,996,1.6817269076305221,1947.0,0,2.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1,2013,0.49999999999999994,0.8660254037844387,4.0,1,2,2.0
0_0,2013-02,4.0,996,1.6817269076305221,1947.0,1,0.0,2.0,1.0,5.0,3.0,0.0,1.0,1.0,2,2013,0.8660254037844386,0.5000000000000001,8.0,1,2,4.0
0_0,2013-03,3.0,996,1.6817269076305221,1947.0,1,4.0,0.0,2.0,3.0,6.0,1.0,0.0,1.0,3,2013,1.0,6.123233995736766e-17,5.0,1,2,2.5
0_0,2013-04,6.0,996,1.6817269076305221,1947.0,1,3.0,4.0,0.0,4.0,9.0,1.0,1.0,0.0,4,2013,0.8660254037844387,-0.4999999999999998,4.0,1,2,2.0
0_0,2013-05,6.0,996,1.6817269076305221,1947.0,1,6.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,5,2013,0.49999999999999994,-0.8660254037844387,9.0,2,2,4.5
0_0,2013-06,6.0,996,1.6817269076305221,1947.0,1,6.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,6,2013,1.2246467991473532e-16,-1.0,13.0,2,2,6.5
0_0,2013-07,6.0,996,1.6817269076305221,1947.0,1,6.0,6.0,6.0,0.0,5.0,1.0,1.0,1.0,7,2013,-0.4999999999999997,-0.8660254037844388,5.0,1,2,2.5
0_0,2013-08,6.0,996,1.6817269076305221,1947.0,1,6.0,6.0,6.0,4.0,5.0,1.0,1.0,1.0,8,2013,-0.8660254037844384,-0.5000000000000004,6.0,1,2,3.0
0_0,2013-09,8.0,996,1.6817269076305221,1947.0,1,6.0,6.0,6.0,3.0,3.0,1.0,1.0,1.0,9,2013,-1.0,-1.8369701987210297e-16,7.0,1,2,3.5
0_0,2013-10,5.0,996,1.6817269076305221,1947.0,1,8.0,6.0,6.0,6.0,4.0,1.0,1.0,1.0,10,2013,-0.8660254037844386,0.5000000000000001,7.0,1,2,3.5
0_0,2013-11,3.0,996,1.6817269076305221,1947.0,1,5.0,8.0,6.0,6.0,1.0,1.0,1.0,1.0,11,2013,-0.5000000000000004,0.8660254037844384,5.0,1,2,2.5
0_0,2013-12,3.0,996,1.6817269076305221,1947.0,1,3.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,12,2013,-2.4492935982947064e-16,1.0,11.0,1,2,5.5
0_0,2014-01,4.0,996,1.6817269076305221,1947.0,1,3.0,3.0,5.0,6.0,0.0,1.0,1.0,1.0,1,2014,0.49999999999999994,0.8660254037844387,4.0,1,2,2.0
0_0,2014-02,4.0,996,1.6817269076305221,1947.0,1,4.0,3.0,3.0,6.0,4.0,1.0,1.0,1.0,2,2014,0.8660254037844386,0.5000000000000001,8.0,2,2,4.0
0_0,2014-03,7.0,996,1.6817269076305221,1947.0,1,4.0,4.0,3.0,8.0,3.0,1.0,1.0,1.0,3,2014,1.0,6.123233995736766e-17,2.0,1,2,1.0
0_0,2014-04,8.0,996,1.6817269076305221,1947.0,1,7.0,4.0,4.0,5.0,6.0,1.0,1.0,1.0,4,2014,0.8660254037844387,-0.4999999999999998,7.0,1,2,3.5
0_0,2014-05,5.0,996,1.6817269076305221,1947.0,1,8.0,7.0,4.0,3.0,6.0,1.0,1.0,1.0,5,2014,0.49999999999999994,-0.8660254037844387,8.0,1,2,4.0
0_0,2014-06,3.0,996,1.6817269076305221,1947.0,1,5.0,8.0,7.0,3.0,6.0,1.0,1.0,1.0,6,2014,1.2246467991473532e-16,-1.0,7.0,2,2,3.5
0_0,2014-07,9.0,996,1.6817269076305221,1947.0,1,3.0,5.0,8.0,4.0,6.0,1.0,1.0,1.0,7,2014,-0.4999999999999997,-0.8660254037844388,1.0,1,2,0.5
0_0,2014-08,4.0,996,1.6817269076305221,1947.0,1,9.0,3.0,5.0,4.0,6.0,1.0,1.0,1.0,8,2014,-0.8660254037844384,-0.5000000000000004,4.0,2,2,2.0
0_0,2014-09,6.0,996,1.6817269076305221,1947.0,1,4.0,9.0,3.0,7.0,8.0,1.0,1.0,1.0,9,2014,-1.0,-1.8369701987210297e-16,11.0,2,2,5.5
0_0,2014-10,7.0,996,1.6817269076305221,1947.0,1,6.0,4.0,9.0,8.0,5.0,1.0,1.0,1.0,10,2014,-0.8660254037844386,0.5000000000000001,12.0,2,2,6.0
0_0,2014-11,2.0,996,1.6817269076305221,1947.0,1,7.0,6.0,4.0,5.0,3.0,1.0,1.0,1.0,11,2014,-0.5000000000000004,0.8660254037844384,7.0,1,2,3.5
0_0,2014-12,7.0,996,1.6817269076305221,1947.0,1,2.0,7.0,6.0,3.0,3.0,1.0,1.0,1.0,12,2014,-2.4492935982947064e-16,1.0,4.0,2,2,2.0
0_0,2015-01,0.0,996,1.6817269076305221,1947.0,0,7.0,2.0,7.0,9.0,4.0,1.0,1.0,1.0,1,2015,0.49999999999999994,0.8660254037844387,10.0,2,2,5.0
0_0,2015-02,8.0,996,1.6817269076305221,1947.0,1,0.0,7.0,2.0,4.0,4.0,0.0,1.0,1.0,2,2015,0.8660254037844386,0.5000000000000001,4.0,1,2,2.0
0_0,2015-03,3.0,996,1.6817269076305221,1947.0,1,8.0,0.0,7.0,6.0,7.0,1.0,0.0,1.0,3,2015,1.0,6.123233995736766e-17,6.0,2,2,3.0
0_0,2015-04,8.0,996,1.6817269076305221,1947.0,1,3.0,8.0,0.0,7.0,8.0,1.0,1.0,0.0,4,2015,0.8660254037844387,-0.4999999999999998,2.0,1,2,1.0
0_0,2015-05,9.0,996,1.6817269076305221,1947.0,1,8.0,3.0,8.0,2.0,5.0,1.0,1.0,1.0,5,2015,0.49999999999999994,-0.8660254037844387,1.0,1,2,0.5
0_0,2015-06,4.0,996,1.6817269076305221,1947.0,1,9.0,8.0,3.0,7.0,3.0,1.0,1.0,1.0,6,2015,1.2246467991473532e-16,-1.0,3.0,1,2,1.5
0_0,2015-07,6.0,996,1.6817269076305221,1947.0,1,4.0,9.0,8.0,0.0,9.0,1.0,1.0,1.0,7,2015,-0.4999999999999997,-0.8660254037844388,3.0,2,2,1.5
0_0,2015-08,11.0,996,1.6817269076305221,1947.0,1,6.0,4.0,9.0,8.0,4.0,1.0,1.0,1.0,8,2015,-0.8660254037844384,-0.5000000000000004,7.0,1,2,3.5
0_0,2015-09,9.0,996,1.6817269076305221,1947.0,1,11.0,6.0,4.0,3.0,6.0,1.0,1.0,1.0,9,2015,-1.0,-1.8369701987210297e-16,5.0,1,2,2.5
0_0,2015-10,9.0,996,1.6817269076305221,1947.0,1,9.0,11.0,6.0,8.0,7.0,1.0,1.0,1.0,10,2015,-0.8660254037844386,0.5000000000000001,8.0,2,2,4.0
0_0,2015-11,3.0,996,1.6817269076305221,1947.0,1,9.0,9.0,11.0,9.0,2.0,1.0,1.0,1.0,11,2015,-0.5000000000000004,0.8660254037844384,3.0,2,2,1.5
0_0,2015-12,1.0,996,1.6817269076305221,1947.0,1,3.0,9.0,9.0,4.0,7.0,1.0,1.0,1.0,12,2015,-2.4492935982947064e-16,1.0,2.0,1,2,1.0
0_0,2016-01,2.0,996,1.6817269076305221,1947.0,1,1.0,3.0,9.0,6.0,0.0,1.0,1.0,1.0,1,2016,0.49999999999999994,0.8660254037844387,1.0,1,2,0.5
0_0,2016-02,10.0,996,1.6817269076305221,1947.0,1,2.0,1.0,3.0,11.0,8.0,1.0,1.0,1.0,2,2016,0.8660254037844386,0.5000000000000001,6.0,1,2,3.0
0_0,2016-03,6.0,996,1.6817269076305221,1947.0,1,10.0,2.0,1.0,9.0,3.0,1.0,1.0,1.0,3,2016,1.0,6.123233995736766e-17,5.0,1,2,2.5
0_0,2016-04,2.0,996,1.6817269076305221,1947.0,1,6.0,10.0,2.0,9.0,8.0,1.0,1.0,1.0,4,2016,0.8660254037844387,-0.4999999999999998,6.0,2,2,3.0
0_0,2016-05,8.0,996,1.6817269076305221,1947.0,1,2.0,6.0,10.0,3.0,9.0,1.0,1.0,1.0,5,2016,0.49999999999999994,-0.8660254037844387,6.0,1,2,3.0
0_0,2016-06,7.0,996,1.6817269076305221,1947.0,1,8.0,2.0,6.0,1.0,4.0,1.0,1.0,1.0,6,2016,1.2246467991473532e-16,-1.0,4.0,2,2,2.0
0_0,2016-07,4.0,996,1.6817269076305221,1947.0,1,7.0,8.0,2.0,2.0,6.0,1.0,1.0,1.0,7,2016,-0.4999999999999997,-0.8660254037844388,6.0,2,2,3.0
0_0,2016-08,6.0,996,1.6817269076305221,1947.0,1,4.0,7.0,8.0,10.0,11.0,1.0,1.0,1.0,8,2016,-0.8660254037844384,-0.5000000000000004,2.0,1,2,1.0
0_0,2016-09,3.0,996,1.6817269076305221,1947.0,1,6.0,4.0,7.0,6.0,9.0,1.0,1.0,1.0,9,2016,-1.0,-1.8369701987210297e-16,11.0,2,2,5.5
0_0,2016-10,8.0,996,1.6817269076305221,1947.0,1,3.0,6.0,4.0,2.0,9.0,1.0,1.0,1.0,10,2016,-0.8660254037844386,0.5000000000000001,9.0,1,2,4.5
0_0,2016-11,3.0,996,1.6817269076305221,1947.0,1,8.0,3.0,6.0,8.0,3.0,1.0,1.0,1.0,11,2016,-0.5000000000000004,0.8660254037844384,6.0,2,2,3.0
0_0,2016-12,2.0,996,1.6817269076305221,1947.0,1,3.0,8.0,3.0,7.0,1.0,1.0,1.0,1.0,12,2016,-2.4492935982947064e-16,1.0,6.0,1,2,3.0
0_0,2017-01,3.0,996,1.6817269076305221,1947.0,1,2.0,3.0,8.0,4.0,2.0,1.0,1.0,1.0,1,2017,0.49999999999999994,0.8660254037844387,8.0,2,2,4.0
0_0,2017-02,3.0,996,1.6817269076305221,1947.0,1,3.0,2.0,3.0,6.0,10.0,1.0,1.0,1.0,2,2017,0.8660254037844386,0.5000000000000001,6.0,1,2,3.0
0_0,2017-03,3.0,996,1.6817269076305221,1947.0,1,3.0,3.0,2.0,3.0,6.0,1.0,1.0,1.0,3,2017,1.0,6.123233995736766e-17,9.0,2,2,4.5
0_0,2017-04,6.0,996,1.6817269076305221,1947.0,1,3.0,3.0,3.0,8.0,2.0,1.0,1.0,1.0,4,2017,0.8660254037844387,-0.4999999999999998,6.0,1,2,3.0
